Order_id,Date,Time
1,Jan-01-2015,11:38:36
2,Jan-01-2015,11:57:40
3,Jan-01-2015,12:12:28
4,Jan-01-2015,12:16:31
5,Jan-01-2015,12:21:30
6,Jan-01-2015,12:29:36
7,Jan-01-2015,12:50:37
8,Jan-01-2015,12:51:37
9,Jan-01-2015,12:52:01
10,Jan-01-2015,13:00:15
11,Jan-01-2015,13:02:59
12,Jan-01-2015,13:04:41
13,Jan-01-2015,13:11:55
14,Jan-01-2015,13:14:19
15,Jan-01-2015,13:33:00
16,Jan-01-2015,13:34:07
17,Jan-01-2015,13:53:00
18,Jan-01-2015,13:57:08
19,Jan-01-2015,13:59:09
20,Jan-01-2015,14:03:08
21,Jan-01-2015,14:14:29
22,Jan-01-2015,14:16:26
23,Jan-01-2015,14:19:03
24,Jan-01-2015,14:23:01
25,Jan-01-2015,14:44:44
26,Jan-01-2015,14:54:26
27,Jan-01-2015,15:11:17
28,Jan-01-2015,15:35:46
29,Jan-01-2015,15:41:01
30,Jan-01-2015,15:41:25
31,Jan-01-2015,15:50:18
32,Jan-01-2015,15:53:18
33,Jan-01-2015,15:54:08
34,Jan-01-2015,16:21:21
35,Jan-01-2015,16:32:04
36,Jan-01-2015,16:54:09
37,Jan-01-2015,16:56:09
38,Jan-01-2015,17:03:00
39,Jan-01-2015,17:07:23
40,Jan-01-2015,17:14:36
41,Jan-01-2015,17:15:20
42,Jan-01-2015,17:28:09
43,Jan-01-2015,17:38:34
44,Jan-01-2015,17:54:20
45,Jan-01-2015,17:55:48
46,Jan-01-2015,18:25:51
47,Jan-01-2015,18:26:34
48,Jan-01-2015,18:26:42
49,Jan-01-2015,18:33:00
50,Jan-01-2015,18:41:01
51,Jan-01-2015,18:48:28
52,Jan-01-2015,18:53:02
53,Jan-01-2015,18:54:17
54,Jan-01-2015,19:01:45
55,Jan-01-2015,19:03:19
56,Jan-01-2015,19:07:00
57,Jan-01-2015,19:10:51
58,Jan-01-2015,19:30:40
59,Jan-01-2015,19:40:08
60,Jan-01-2015,20:05:16
61,Jan-01-2015,20:08:43
62,Jan-01-2015,20:50:16
63,Jan-01-2015,20:51:42
64,Jan-01-2015,20:52:08
65,Jan-01-2015,21:16:00
66,Jan-01-2015,21:47:55
67,Jan-01-2015,22:03:40
68,Jan-01-2015,22:07:32
69,Jan-01-2015,22:12:13
70,Jan-02-2015,11:38:51
71,Jan-02-2015,11:40:50
72,Jan-02-2015,11:57:25
73,Jan-02-2015,11:58:56
74,Jan-02-2015,12:01:12
75,Jan-02-2015,12:10:15
76,Jan-02-2015,12:21:17
77,Jan-02-2015,12:22:46
78,Jan-02-2015,12:28:14
79,Jan-02-2015,12:29:11
80,Jan-02-2015,12:35:38
81,Jan-02-2015,12:40:01
82,Jan-02-2015,12:45:51
83,Jan-02-2015,12:53:27
84,Jan-02-2015,13:13:41
85,Jan-02-2015,13:34:49
86,Jan-02-2015,13:40:31
87,Jan-02-2015,14:01:02
88,Jan-02-2015,14:10:08
89,Jan-02-2015,14:30:19
90,Jan-02-2015,15:08:48
91,Jan-02-2015,15:14:43
92,Jan-02-2015,15:17:02
93,Jan-02-2015,15:29:31
94,Jan-02-2015,16:17:16
95,Jan-02-2015,16:18:04
96,Jan-02-2015,16:21:20
97,Jan-02-2015,16:45:33
98,Jan-02-2015,17:18:18
99,Jan-02-2015,17:45:42
100,Jan-02-2015,17:46:17
101,Jan-02-2015,17:51:33
102,Jan-02-2015,17:54:04
103,Jan-02-2015,18:02:09
104,Jan-02-2015,18:02:12
105,Jan-02-2015,18:12:01
106,Jan-02-2015,18:12:13
107,Jan-02-2015,18:25:09
108,Jan-02-2015,18:25:25
109,Jan-02-2015,18:27:50
110,Jan-02-2015,18:36:19
111,Jan-02-2015,18:38:01
112,Jan-02-2015,18:41:40
113,Jan-02-2015,18:50:21
114,Jan-02-2015,18:59:32
115,Jan-02-2015,19:05:17
116,Jan-02-2015,19:18:49
117,Jan-02-2015,19:23:02
118,Jan-02-2015,19:26:59
119,Jan-02-2015,19:32:29
120,Jan-02-2015,19:35:07
121,Jan-02-2015,19:38:48
122,Jan-02-2015,19:50:19
123,Jan-02-2015,20:12:09
124,Jan-02-2015,20:12:34
125,Jan-02-2015,20:31:06
126,Jan-02-2015,20:53:42
127,Jan-02-2015,20:58:23
128,Jan-02-2015,21:05:06
129,Jan-02-2015,21:13:02
130,Jan-02-2015,21:14:55
131,Jan-02-2015,21:33:10
132,Jan-02-2015,21:42:45
133,Jan-02-2015,22:00:17
134,Jan-02-2015,22:13:24
135,Jan-02-2015,22:29:34
136,Jan-02-2015,22:32:49
137,Jan-03-2015,11:34:10
138,Jan-03-2015,11:44:50
139,Jan-03-2015,11:57:39
140,Jan-03-2015,12:26:44
141,Jan-03-2015,13:16:01
142,Jan-03-2015,13:33:59
143,Jan-03-2015,13:41:36
144,Jan-03-2015,13:44:28
145,Jan-03-2015,13:53:48
146,Jan-03-2015,14:22:10
147,Jan-03-2015,14:32:51
148,Jan-03-2015,14:40:42
149,Jan-03-2015,14:48:45
150,Jan-03-2015,14:49:58
151,Jan-03-2015,15:09:34
152,Jan-03-2015,15:09:42
153,Jan-03-2015,15:16:34
154,Jan-03-2015,15:22:43
155,Jan-03-2015,15:28:59
156,Jan-03-2015,15:42:19
157,Jan-03-2015,15:43:03
158,Jan-03-2015,15:54:30
159,Jan-03-2015,15:59:22
160,Jan-03-2015,16:35:33
161,Jan-03-2015,16:43:46
162,Jan-03-2015,16:51:22
163,Jan-03-2015,16:54:54
164,Jan-03-2015,16:56:33
165,Jan-03-2015,16:57:37
166,Jan-03-2015,16:58:51
167,Jan-03-2015,17:00:49
168,Jan-03-2015,17:02:27
169,Jan-03-2015,17:15:48
170,Jan-03-2015,17:21:31
171,Jan-03-2015,17:23:03
172,Jan-03-2015,17:29:24
173,Jan-03-2015,17:35:30
174,Jan-03-2015,17:37:49
175,Jan-03-2015,17:50:51
176,Jan-03-2015,17:51:57
177,Jan-03-2015,17:54:36
178,Jan-03-2015,18:15:03
179,Jan-03-2015,18:20:14
180,Jan-03-2015,18:33:34
181,Jan-03-2015,18:49:32
182,Jan-03-2015,18:50:10
183,Jan-03-2015,18:54:55
184,Jan-03-2015,18:59:05
185,Jan-03-2015,19:08:33
186,Jan-03-2015,19:36:00
187,Jan-03-2015,19:37:12
